V1,AO_Liking,AO_Behavior,AO_Open,C2_Liking,C2_Behavior,C2_Open,C3_Liking,C3_Behavior,C3_Open,C4_Liking,C4_Behavior,C4_Open,C5_Liking,C5_Behavior,C5_Open,C6_Liking,C6_Behvavior,C6_Open,C7_Liking,C7_Behavior,C7_Open,IH,Villain,MAC,Distinctiveness,Consistency,Consensus,DistinctR,ConsistR,ConsenR,PConsensus1,PDistinct1,PConsist1,PConsensus2,PConsensus3,PDistinct2,PDistinct3,PConsist2,PConsist3,AttSpectrum,AttClosed,IntAtt1,IntAtt2,IntAtt3,IntAtt4,StimAtt1,StimAtt2,StimAtt3,CircAtt1,CircAtt2,CircAtt3,CharLike1,CharLike2,CharLike3,CharLike4,StoryLike1,StoryLike2,StoryLike3,StoryLike4,MoralDis1,MoralDis2,MoralDis3,MoralDis4,MoralDis5,Age,Ethnicity,Q102,Q104,Q105,Q106,Condition,Order
R_1P5igXTTpaC54G9,4.00,4.00,i do not know him totally ,4.00,7.00,A good man who always help people and fight against criminals,4.00,4.00,i totally do not know her,7.00,6.00,"a man who is strong, smart and has the sense of justice. however, sometimes if law cannot publish the bad one, he will use his own way to 'educate' them.",4.00,4.00,i do not know her totally ,4.00,4.00,i do not know him totally,4.00,4.00,i do not know him totally,,,1,HD,HC,HS,1,1,1,4.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,3.00,4.00,2.00,5.00,7.00,6.00,4.00,4.00,5.00,3.00,3.00,3.63,3.00,6.00,6.00,5.00,4.00,7.00,5.00,5.00,5.00,5.00,7.00,4.00,19.00,11.00,1.00,1.00,2.00,,MAC,HD/HC/HS
R_9LxsAPvOP4Sj5tL,4.00,6.00,I don't know much about Agent Orange other than the fact that he's a superhero.,7.00,7.00,He lives with his aunt and uncle. Spiderman is in love with a girl named Mary Jane Watson. One of his biggest rivals is Dr. Octopus.,4.00,4.00,I don't know anything about Artemis.,7.00,6.00,"Batmans real name is Bruce Wayne, and he's a billionaire who lives in Gotham City. He has a butler named Alfred and his parents died when he was just a boy.",4.00,4.00,I don't know anything about the Scarlet Witch.,7.00,5.00,"Wolverine's real name is Logan, and he's part of a mutant group called the X-men. He has a very bad temper and can heal himself.",4.00,4.00,I do not know anything about static.,,,1,HD,HC,HS,1,1,1,5.00,6.00,5.00,5.00,4.00,6.00,6.00,2.00,5.00,5.00,1.00,5.00,6.00,5.00,5.00,5.00,3.00,5.00,2.00,2.00,4.00,5.00,4.00,4.00,3.00,5.00,6.00,6.00,6.00,3.00,5.00,5.00,3.00,4.00,23.00,1.00,1.00,4.00,1.00,2.00,MAC,HD/HC/HS
R_40D8lid59HzmctX,3.00,4.00,i like that he is a super hero,6.00,7.00,spider man was my favorite super hero growing up,3.00,4.00,i dont know what super hero this is,7.00,7.00,one of my favorites growing up,4.00,4.00,dont know who this is,7.00,7.00,all time favorite,6.00,6.00,i like how he was made out of electricity ,,,1,LD,LC,LS,0,0,0,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,1.00,4.00,3.00,3.00,3.00,3.00,4.00,4.00,3.00,4.00,4.00,6.00,4.00,6.00,6.00,6.00,6.00,6.00,6.00,4.00,4.00,4.00,4.00,4.00,22.00,2.00,1.00,4.00,2.00,,MAC,LD/LC/LS
R_2pQBq2tU5twy5yg,2.00,2.00,chemical used to defoliate forests,7.00,6.00,"he was a nerd that got bit by a spider and it gave him super powers, pretty good dude. fights bad guys ",4.00,4.00,i know absolutely nothing about her  ,7.00,7.00,"he is a man that fights crime in a bat suit, good catch phrases. hes the hero gotham deserves, but not the one it needs right now",4.00,4.00,no idea who this is ,6.00,6.00,pretty much just an angry strong guy with blades that come out of his hands ,4.00,4.00,couldn't tell you who that is  ,,,1,HD,LC,LS,1,0,0,3.00,5.00,3.00,3.00,6.00,7.00,7.00,3.00,3.00,4.00,2.00,5.00,4.00,4.00,5.00,5.00,5.00,2.00,1.00,3.00,5.00,4.00,6.00,4.00,5.00,6.00,6.00,6.00,6.00,5.00,5.00,5.00,1.00,6.00,21.00,1.00,1.00,3.00,1.00,2.00,MAC,HD/LC/LS
R_2fpNEjHF1JYvXdM,4.00,4.00,nothing except his name,6.00,6.00,I've seen a couple movies and a bit of a tv show,5.00,5.00,"I don't know her in this context, but that she's a Greek Goddess",5.00,6.00,"he's a comic book character and his sidekick is robin. He is ""the dark knight"" ... I've seen part of that movie.",4.00,4.00,zip,5.00,6.00,"... the one from x- men, right? He has a very tough front, but he's generally good.",4.00,4.00,nothing,,,1,LD,HC,HS,0,1,1,3.00,2.00,5.00,2.00,3.00,5.00,5.00,5.00,5.00,6.00,1.00,4.00,4.00,4.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,19.00,1.00,2.00,2.00,1.00,4.00,MAC,LD/HC/HS
R_xfHOaYuVRDWV2Dv,4.00,3.00,he looks like cpt america and like he doesnt like windows,6.00,6.00,he shoots webs and fights crime,6.00,4.00,no clue,6.00,7.00,hes like the edgy super hero who has a dark past,6.00,6.00,nothing,6.00,6.00,hes got a crazy long backstory and is edgy too ,6.00,6.00,nothing,,,1,LD,LC,LS,0,0,0,1.00,1.00,1.00,7.00,5.00,3.00,1.00,7.00,6.00,7.00,1.00,6.00,6.00,7.00,7.00,5.00,5.00,1.00,1.00,1.00,5.00,4.00,2.00,3.00,4.00,6.00,6.00,6.00,6.00,1.00,1.00,1.00,1.00,2.00,22.00,1.00,1.00,4.00,2.00,,MAC,LD/LC/LS
R_1r0LGKAg3ZeCSmC,2.00,4.00,nothing,7.00,6.00,There's a lot of different versions of him,4.00,4.00,nothing,6.00,5.00,Drives a batmobile,4.00,4.00,nothing,5.00,4.00,He has a daughter,4.00,4.00,nothing,,,1,HD,HC,LS,1,1,0,2.00,5.00,5.00,4.00,4.00,4.00,6.00,4.00,5.00,4.00,3.00,4.00,3.00,3.00,4.00,3.00,3.00,5.00,4.00,3.00,3.00,4.00,2.00,4.00,4.00,5.00,3.00,5.00,5.00,2.00,3.00,5.00,1.00,5.00,20.00,1.00,2.00,2.00,2.00,,MAC,HD/HC/LS
R_AdQNRZ0OLboHcn7,4.00,4.00,nothing,7.00,7.00,superhero,4.00,4.00,nothing,7.00,7.00,superhero,4.00,4.00,nothing,7.00,7.00,superhero,4.00,4.00,nothing,,,1,LD,LC,LS,0,0,0,5.00,5.00,3.00,6.00,4.00,5.00,3.00,4.00,6.00,3.00,3.00,3.00,5.00,5.00,5.00,3.00,5.00,5.00,5.00,5.00,3.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.00,5.00,5.00,5.00,5.00,20.00,1.00,2.00,3.00,2.00,,MAC,LD/LC/LS
R_2Uf8wLAp4lONWRl,2.00,2.00,"He is a villain, I believe from the Green Lantern comics. I am unfamiliar with his actions, though, as green lantern is not my favorite of comics.   ",6.00,6.00,"A hero out of the marvel comics, spiderman's ordinary name is Peter Parker and after being bitten by a radioactive spider in his teenage years, begins to fight crime. He goes through a series of trials, such as deaths in the family, having to fight friends, etc. ",6.00,6.00,"A DC hero, I know very little about her. I believe she relies mostly on super strength. ",5.00,6.00,"Typically seen as mysterious, Batman is a billionaire who's parents were mugged and killed when he was young. From there he trained himself to become a vigilante and fight crime in Gotham. He, for the most part, keeps to himself. He doesn't like to kill people and focuses on non-murderous ways of taking down his enemies.  ",7.00,3.00,"I personally love this character, I believe she's out of the Marvel universe and part of the mutant/x-men story line (although was used in the avengers recently). She (and her brother) were experimented on to gain their powers and so she became an anti-hero type trope. While it is true she is not always good, we also see her trying to fight herself and help when needed. She uses telekinesis powers and other magical sources. ",6.00,5.00,"Wolverine is a pretty complex character when we look at how long he's been alive. It's hard to say how good/bad he is on a scale because it really depends on what time period you're talking about him. He has healing abilities (for himself) and cannot die. Along with this, the bones in his hand (later become blades) come out of his hand and are used as claws. Typically speaking, the violence we see in the comics of Wolverine is fairly gruesome. However, this was dulled down for most of the movies that have come out, until this past one, Logan, in which we really see the brutality that is parallel in the comics. ",6.00,6.00,"The picture isn't showing up for me so I could be wrong on this, but I believe Static is an African American teen who in someway gets electrical powers. He's considered a hero, but I know very little about his story arcs and other abilities. ",,,1,HD,HC,LS,1,1,0,2.00,7.00,4.00,1.00,4.00,7.00,7.00,2.00,3.00,3.00,2.00,6.00,5.00,7.00,6.00,5.00,7.00,6.00,2.00,4.00,7.00,4.00,2.00,4.00,3.00,6.00,6.00,6.00,7.00,2.00,3.00,5.00,1.00,2.00,22.00,1.00,2.00,4.00,1.00,2.00,MAC,HD/HC/LS
R_1Fafxf5yojTRaYa,4.00,4.00,nothing,5.00,6.00,I know that he is guy who got bit by a spider and turned into a super hero with powers that he uses to fight bad guys.,4.00,4.00,nothing,6.00,6.00,That he has a bat mobile and is signaled by a light to know that he is needed.,4.00,4.00,nothing,4.00,4.00,nothing,4.00,4.00,nothing,,,1,LD,LC,HS,0,0,1,2.00,6.00,2.00,2.00,3.00,6.00,6.00,2.00,2.00,5.00,2.00,5.00,5.00,6.00,5.00,3.00,4.00,5.00,3.00,4.00,6.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,6.00,3.00,6.00,3.00,4.00,20.00,1.00,2.00,2.00,2.00,,MAC,LD/LC/HS
R_3EOttGsvuv6oLQZ,4.00,4.00,I don't know who's Agent Orange ,7.00,6.00,a man who happen to have a super power. and he use it in good cause. ,4.00,4.00,I don't know Artemis ,5.00,5.00,"batman is good, but but really my favorite superpoer charachter ",4.00,4.00,I have no idea who's is she ,4.00,4.00,I'm sorry but I don't know him ,4.00,4.00,,,,1,HD,LC,LS,1,0,0,6.00,6.00,3.00,1.00,6.00,6.00,6.00,5.00,6.00,2.00,3.00,5.00,5.00,5.42,6.00,6.00,2.00,5.00,5.00,6.00,6.00,2.00,4.00,2.00,2.00,2.00,4.00,2.00,4.00,2.00,6.00,6.00,2.00,6.00,22.00,13.00,1.00,3.00,2.00,,MAC,HD/LC/LS
R_1Q3EKvtxXTLMg5d,4.00,4.00,I have never heard of Agent Orange.,7.00,6.00,Spider-Man doubles as a regular person and as a super hero.,4.00,4.00,I have never heard of Artemis.,7.00,6.00,Batman is a super hero that drives the Batmobile.,4.00,4.00,I have never heard of Scarlet Witch.,4.00,4.00,I have never heard of Wolverine.,6.00,5.00,"I have heard of Static, but I don't know anything about him.",,,1,HD,HC,LS,1,1,0,3.00,7.00,5.00,5.00,5.00,7.00,7.00,1.00,3.00,6.00,2.00,5.00,6.00,7.00,7.00,5.00,6.00,6.00,4.00,2.00,7.00,3.00,3.00,5.00,4.00,6.00,6.00,5.00,5.00,4.00,5.00,6.00,2.00,5.00,20.00,1.00,2.00,3.00,2.00,,MAC,HD/HC/LS
R_3g7LZ4Qlse40goy,4.00,4.00,I am not familiar with the character Agent Orange,5.00,6.00,He's a superhero ,4.00,4.00, I am not familiar with Artemis,7.00,6.00,A superhero with good intentions,4.00,4.00,I am not familiar with Scarlet Witch,4.00,4.00,He is played by Hugh Jackman in the movies I think,4.00,4.00,I am not familiar with Static,,,1,LD,LC,HS,0,0,1,2.00,1.00,1.00,4.00,6.00,7.00,3.00,3.00,3.00,6.00,1.00,7.00,7.00,7.00,7.00,7.00,7.00,5.00,1.00,3.00,3.00,5.00,5.00,4.00,5.00,6.00,6.00,7.00,7.00,2.00,7.00,4.00,1.00,7.00,20.00,2.00,1.00,2.00,1.00,2.00,MAC,LD/LC/HS
R_sgHKuNh2y0MN0ul,4.00,4.00,Nothing ,6.00,6.00,"He is a superhero that does things for the interest of the city, although sometimes he does it for his own personal vendetta. ",4.00,4.00,Nothing,6.00,6.00,"He is a superhero that does things for the good of the city, and has many people who want to figure out who he is. He gets in trouble quite often with the city and the city doesn't like the damage he causes. ",5.00,5.00,Not much. ,7.00,5.00,He is apart of X-men who are not liked by the people and are constantly under scrutiny.  ,6.00,6.00,Not much. ,,,1,LD,HC,HS,0,1,1,2.00,2.00,6.00,6.00,3.00,2.00,2.00,6.00,6.00,6.00,1.00,6.00,6.00,6.00,6.00,5.00,5.00,6.00,5.00,2.00,5.00,5.00,2.00,3.00,5.00,5.00,6.00,5.00,6.00,1.00,6.00,6.00,1.00,6.00,19.00,1.00,2.00,2.00,1.00,2.00,MAC,LD/HC/HS
R_2ffY7BkwsgIIi46,4.00,4.00,I know nothing about Agent Orange,6.00,6.00,He was bitten by a spider and gained super powers. His grandfather was murdered. He does vigilante justice.,4.00,4.00,I know nothing about Artemis. ,7.00,6.00,"His rich parents were murdered, he inhereted their wealth and company and is actually Bruce Wayne. He uses his wealth and technology to protect people in Gotham. He does not like to kill anyone and prefers to hand them over to the police.",4.00,4.00,I know nothing about Scarlet Witch.,5.00,5.00,I only know he is in the X-men and has large claw-like blades on his hands.,4.00,4.00,I know nothing about Static,,,1,HD,LC,HS,1,0,1,3.00,7.00,2.00,2.00,5.00,7.00,7.00,2.00,2.00,1.00,2.00,4.00,5.00,7.00,5.00,6.00,2.00,2.00,4.00,1.00,7.00,4.00,4.00,5.00,4.00,5.00,6.00,5.00,6.00,4.00,5.00,7.00,1.00,4.00,25.00,1.00,2.00,3.00,1.00,2.00,MAC,HD/LC/HS
R_2dmPVSXDOa33Q1a,4.00,4.00,I dont know anything about him.,6.00,6.00,I know he saves a town from evil and he is a represenation of the United States because he is an immigrant.,4.00,4.00,I dont know anything about her.,6.00,6.00,He has a sidekick named Robin.,4.00,4.00,I dont know anything about her.,6.00,6.00,He is the favorite character of Clay Edwards in One Tree Hill,4.00,4.00,I do not know him.,,,1,LD,LC,LS,0,0,0,7.00,4.00,5.00,7.00,4.00,4.00,4.00,4.00,4.00,6.00,2.00,4.00,4.00,5.00,3.00,3.00,5.00,4.00,4.00,3.00,5.00,2.00,1.00,2.00,2.00,2.00,3.00,2.00,1.00,2.00,2.00,2.00,1.00,3.00,20.00,1.00,2.00,2.00,2.00,,MAC,LD/LC/LS
R_4ITcD8mvom3nx2p,4.00,4.00,Nothing.....,5.00,5.00,I've never seen the movie or really paid much attention to the story. So my opinion I feel is kind of indifferent just because I dont really care. ,4.00,4.00,"Nothing, I dont really pay attention to superheros and villians. ",5.00,5.00,I am probably most familiar with Batman but still I know very little and have not seen any of the movies or read any comic books. ,4.00,4.00,Nothing. ,4.00,4.00,Nothing. ,4.00,4.00,Nothing....,,,1,HD,HC,LS,1,1,0,1.00,7.00,2.00,3.00,5.00,6.00,6.00,1.00,4.00,5.00,2.00,3.00,3.00,3.00,2.00,5.00,2.00,4.00,2.00,2.00,5.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,5.00,3.00,4.00,5.00,3.00,4.00,19.00,1.00,2.00,2.00,2.00,,MAC,HD/HC/LS
R_2VmXpWJtO7YT10v,4.00,4.00,I have never heard of him,6.00,6.00,His real name is Peter Parker and he was bitten by a radioactive spider that gave him his powers. His uncle was killed which gave him incentive to fight crime. ,4.00,4.00,I have never heard of her.,6.00,6.00,"His real name is Bruce Wayne and he owns his own multi-billion dollar company, Wayne Enterprises. His parents were murdered in front of him at a young age which instilled the desire to fight crime. He has no super-human powers but instead state-of-the-art technology and martial arts abilities. ",4.00,4.00,I have never heard of her.,4.00,6.00,He has knives for fingers. ,4.00,4.00,I have never heard of him. ,,,1,HD,LC,LS,1,0,0,2.00,6.00,5.00,1.00,3.00,6.00,6.00,3.00,3.00,3.00,2.00,6.00,4.00,5.00,3.00,7.00,5.00,7.00,4.00,1.00,6.00,5.00,3.00,4.00,5.00,5.00,5.00,5.00,3.00,3.00,5.00,7.00,2.00,5.00,20.00,1.00,2.00,3.00,2.00,,MAC,HD/LC/LS
R_3oSgd2kBeuToz49,4.00,6.00,His name is Agent Orange,7.00,7.00,Normal boy turned hero,4.00,3.00,Her name is Artemis,7.00,6.00,Batman don't play games.,4.00,3.00,Her name is Scarlet,7.00,5.00,"Wolverine, just like Batman don't play them games either.",4.00,5.00,His/her name is Static,,,1,LD,LC,LS,0,0,0,2.00,4.00,4.00,4.00,4.00,7.00,7.00,1.00,1.00,2.00,2.00,2.00,7.00,7.00,5.00,7.00,7.00,1.00,3.00,3.00,7.00,4.00,2.00,1.00,4.00,4.00,4.00,5.00,4.00,1.00,4.00,4.00,1.00,1.00,24.00,2.00,2.00,3.00,2.00,,MAC,LD/LC/LS
R_3EWlu9Y3Q6Piw5c,5.00,7.00,Nothing,6.00,6.00,He is super intelligent.  He is inspired to be a hero due to his uncle Ben's death.  He is finally being portrayed by someone close to his age.,3.00,6.00,Nothing,7.00,5.00,His morals are too rigid.  Him not killing villains means that they keep showing up and killing more people.,7.00,6.00,"In the comics, she is a mutant, along with her brother, Peter.  They are Magneto's kids.  In the MCU, they were mutated in a lab.",7.00,5.00,Pain is the word that can describe him the best.,7.00,7.00,"There is no picture, but I assume it is static shock, who was mutated by gas and is a teenager.  He is smart and kind.",,,1,LD,HC,HS,0,1,1,1.00,1.00,7.00,2.00,5.00,1.00,1.00,7.00,7.00,7.00,1.00,7.00,7.00,7.00,7.00,6.00,5.00,7.00,1.00,1.00,2.00,6.00,2.00,3.15,5.00,6.00,3.00,5.00,6.00,5.00,2.00,2.00,1.00,7.00,20.00,13.00,1.00,2.00,1.00,2.00,MAC,LD/HC/HS
R_1rl96rO995GkKov,4.00,3.00,nothing ,7.00,7.00,hero ,4.00,3.00,nothing ,7.00,7.00,hero,4.00,1.00,nothing ,6.00,7.00,"very little, seen as a hero",4.00,4.00,nothing ,,,1,LD,LC,HS,0,0,1,2.00,4.00,5.00,5.00,1.00,6.00,6.00,1.00,2.00,7.00,1.00,6.00,7.00,4.00,6.00,3.00,3.00,4.00,2.00,1.00,7.00,2.00,1.00,1.00,1.00,4.00,2.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,20.00,1.00,2.00,2.00,2.00,,MAC,LD/LC/HS
